Features,ICC_value,p_value,Repeatability
log.sigma.3.0.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis,0.836229458093403,3.73942904117431e-07,Good
log.sigma.3.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,0.849304479777488,1.6634156929075e-07,Good
log.sigma.3.0.mm.3D_glszm_LowGrayLevelZoneEmphasis,0.620309389134572,0.0008497743452568,Poor
log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformityNormalized,0.855371036230679,1.11273822044483e-07,Good
log.sigma.3.0.mm.3D_glszm_SmallAreaEmphasis,0.846370343944928,2.00793749215015e-07,Good
log.sigma.3.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis,0.782825491737578,5.56552228656132e-06,Good
log.sigma.3.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis,0.679368927081303,0.0001965138558884,Poor
log.sigma.3.0.mm.3D_glszm_ZoneEntropy,0.927079835997719,1.18092058637442e-10,Excellent
log.sigma.3.0.mm.3D_glszm_ZonePercentage,0.95960118053165,2.78764737970962e-13,Excellent
log.sigma.3.0.mm.3D_glszm_ZoneVariance,0.842687883102458,2.52925210129896e-07,Good
log.sigma.3.0.mm.3D_gldm_DependenceEntropy,0.930294854871924,7.46736472252991e-11,Excellent
log.sigma.3.0.mm.3D_gldm_DependenceNonUniformityNormalized,0.948936982675143,3.1039730949690398e-12,Excellent
log.sigma.3.0.mm.3D_gldm_DependenceVariance,0.95749449790165,4.70746762350373e-13,Excellent
log.sigma.3.0.mm.3D_gldm_GrayLevelVariance,0.95102921532696,2.0201206374169e-12,Excellent
log.sigma.3.0.mm.3D_gldm_HighGrayLevelEmphasis,0.904790271660734,1.7487463603179801e-09,Excellent
log.sigma.3.0.mm.3D_gldm_LargeDependenceEmphasis,0.965538653103208,5.39914561642152e-14,Excellent
log.sigma.3.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis,0.945301956102238,6.2824983471614395e-12,Excellent
log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.217512162823251,0.161130141486,Poor
log.sigma.3.0.mm.3D_gldm_LowGrayLevelEmphasis,0.638875537103442,0.000553994237856,Poor
log.sigma.3.0.mm.3D_gldm_SmallDependenceEmphasis,0.953723138978966,1.12930441177898e-12,Excellent
log.sigma.3.0.mm.3D_gldm_SmallDependenceHighGrayLevelEmphasis,0.937835215656218,2.3252573853900497e-11,Excellent
log.sigma.3.0.mm.3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.829942295186742,5.38591489132016e-07,Good
log.sigma.3.0.mm.3D_ngtdm_Complexity,0.898729463961109,3.24816113783327e-09,Good
log.sigma.3.0.mm.3D_ngtdm_Contrast,0.940345932922278,1.5260975313592298e-11,Excellent
log.sigma.4.0.mm.3D_firstorder_10Percentile,0.969633868331666,1.45769246469293e-14,Excellent
