X,Y,method,tail,n,r,CI95%,r2,adj_r2,z,p-unc,power
original_shape_MeshVolume,wavelet-HHH_firstorder_10Percentile,spearman,one-sided,42,-0.04286524592820679,[-0.34  0.26],0.001837429308485649,-0.049350394829540845,-0.04289152886317954,0.39375753537034053,0.08495295776521633
original_shape_MeshVolume,wavelet-HHH_firstorder_90Percentile,spearman,one-sided,42,0.039786078923912165,[-0.27  0.34],0.0015829320761397677,-0.049617943202006964,0.03980709177150925,0.401231463414969,0.08196074613298393
original_shape_MeshVolume,wavelet-HHH_firstorder_Energy,spearman,one-sided,42,1.0,[1. 1.],1.0,1.0,inf,0.0,1.0
original_shape_MeshVolume,wavelet-HHH_firstorder_Entropy,spearman,one-sided,42,-0.757394052345839,[-0.86 -0.59],0.5736457505288515,0.5517814300431515,-0.9900744130994638,3.2053042926515026e-09,0.9999978575953717
original_shape_MeshVolume,wavelet-HHH_firstorder_InterquartileRange,spearman,one-sided,42,0.05437160683899198,[-0.25  0.35],0.0029562716302539197,-0.048174175978451084,0.05442528115632021,0.3661801732878134,0.09686877288682189
original_shape_MeshVolume,wavelet-HHH_firstorder_Kurtosis,spearman,one-sided,42,0.48286200469978124,[0.21 0.69],0.23315571558269158,0.1938303676638552,0.5267097659956618,0.0006001451501529509,0.9537589260685484
original_shape_MeshVolume,wavelet-HHH_firstorder_Maximum,spearman,one-sided,42,0.7358398833157768,[0.56 0.85],0.5414603338781759,0.5179454792052618,0.941345617981911,1.411068134201387e-08,0.9999911110382194
original_shape_MeshVolume,wavelet-HHH_firstorder_MeanAbsoluteDeviation,spearman,one-sided,42,0.06052994084758123,[-0.25  0.36],0.003663873739011683,-0.04743028658206483,0.06060402847142505,0.3516795720768672,0.10373617084782538
original_shape_MeshVolume,wavelet-HHH_firstorder_Mean,spearman,one-sided,42,0.18223806822785837,[-0.13  0.46],0.03321071351142156,-0.016368224257223396,0.1842966658779415,0.12402478722247225,0.31603442569619516
original_shape_MeshVolume,wavelet-HHH_firstorder_Median,spearman,one-sided,42,0.04724090430273074,[-0.26  0.35],0.0022317030393397635,-0.04893590193300179,0.047276093991094316,0.38320173316136075,0.08934631406636262
original_shape_MeshVolume,wavelet-HHH_firstorder_Minimum,spearman,one-sided,42,-0.6309861437484807,[-0.78 -0.4 ],0.3981435136025784,0.36727907840271057,-0.7430529564382412,3.7370419730475576e-06,0.9988357895092436
original_shape_MeshVolume,wavelet-HHH_firstorder_Range,spearman,one-sided,42,0.7426464630094806,[0.57 0.85],0.5515237690204918,0.5285249879446196,0.9563547112917226,8.976751647210444e-09,0.9999942103970101
original_shape_MeshVolume,wavelet-HHH_firstorder_RobustMeanAbsoluteDeviation,spearman,one-sided,42,0.034924236285552225,[-0.27  0.34],0.0012197022801290827,-0.04999980016704386,0.034938445742663415,0.41310251145763,0.07740026821802752
original_shape_MeshVolume,wavelet-HHH_firstorder_RootMeanSquared,spearman,one-sided,42,0.18661372660238232,[-0.12  0.46],0.034824682956428696,-0.014671487148369966,0.18882640201262393,0.11833981735375558,0.3262847326153258
original_shape_MeshVolume,wavelet-HHH_firstorder_Skewness,spearman,one-sided,42,0.4627663884612269,[0.18 0.67],0.21415273028944717,0.17385287030429053,0.500825838883492,0.0010148970409740155,0.9356529416076566
original_shape_MeshVolume,wavelet-HHH_firstorder_TotalEnergy,spearman,one-sided,42,1.0,[1. 1.],1.0,1.0,inf,0.0,1.0
original_shape_MeshVolume,wavelet-HHH_firstorder_Uniformity,spearman,one-sided,42,0.7557734381330525,[0.59 0.86],0.571193489787455,0.5492034123406578,0.9862842087956746,3.601997931046463e-09,0.9999975991835451
original_shape_MeshVolume,wavelet-HHH_firstorder_Variance,spearman,one-sided,42,0.07949112713718501,[-0.23  0.37],0.006318839293540111,-0.04463916894781672,0.0796591953489912,0.3083940435583692,0.12712173644269525
original_shape_MeshVolume,wavelet-HHH_glcm_Autocorrelation,spearman,one-sided,42,-0.35175431488534153,[-0.59 -0.05],0.12373109804045601,0.07879423127329999,-0.367444376069792,0.011174591470543158,0.7510666705739265
